snapshot_date,skill_name,demand_count,demand_pct,median_days_open,salary_premium_pct,repost_rate_pct,scarcity_score,year,day,month
2026-07-12,User Research,26,0.3,68.0,,0.0,61.5,2026,12,July
2026-07-12,Vector Databases,36,0.5,,,5.6,50.5,2026,12,July
2026-07-12,Vue,128,1.6,1.0,-47.6,9.4,27.9,2026,12,July
2026-07-12,Workday,16,0.2,,,6.2,55.4,2026,12,July
2026-07-12,A/B Testing,189,13.5,26.0,63.2,5.5,62.9,2026,12,July
2026-07-12,Agile / Scrum,64,4.6,0.0,-50.4,32.5,23.4,2026,12,July
2026-07-12,AI Agents,115,8.2,,53.3,0.0,24.6,2026,12,July
2026-07-12,AI Coding Tools,37,2.6,,,0.0,0.0,2026,12,July
2026-07-12,Airflow,14,1.0,,,0.0,0.0,2026,12,July
2026-07-12,Amplitude,12,0.9,18.0,,0.0,22.4,2026,12,July
2026-07-12,Angular,12,0.9,36.0,-18.5,47.1,52.5,2026,12,July
2026-07-12,AWS,74,5.3,2.0,57.4,20.5,46.7,2026,12,July
2026-07-12,Azure,43,3.1,0.0,,48.2,37.7,2026,12,July
2026-07-12,C#,12,0.9,,-18.5,66.7,44.8,2026,12,July
2026-07-12,CI/CD,11,0.8,75.0,57.4,0.0,55.4,2026,12,July
2026-07-12,Dagster,13,0.9,,,0.0,0.0,2026,12,July
2026-07-12,Data Modeling,13,0.9,,71.7,0.0,55.2,2026,12,July
2026-07-12,Data Visualization,17,1.2,,,0.0,0.0,2026,12,July
2026-07-12,Databricks,30,2.1,22.0,,0.0,28.0,2026,12,July
2026-07-12,Datadog,48,3.4,54.0,,0.0,54.1,2026,12,July
2026-07-12,dbt,36,2.6,,,0.0,0.0,2026,12,July
2026-07-12,Elasticsearch,28,2.0,35.0,,0.0,37.3,2026,12,July
2026-07-12,ETL,30,2.1,39.0,,10.0,78.3,2026,12,July
2026-07-12,Excel,23,1.6,1.0,68.1,18.4,58.5,2026,12,July
2026-07-12,Figma,153,10.9,18.0,64.7,0.6,56.9,2026,12,July
2026-07-12,Fivetran,30,2.1,61.0,,0.0,55.9,2026,12,July
2026-07-12,GCP,40,2.9,45.0,,1.1,78.1,2026,12,July
2026-07-12,Git,10,0.7,5.0,,0.0,18.6,2026,12,July
2026-07-12,Jira,12,0.9,2.0,,0.0,11.2,2026,12,July
2026-07-12,Kubernetes,20,1.4,75.0,61.6,0.0,59.1,2026,12,July
2026-07-12,LLMs / GenAI,232,16.6,16.0,-11.2,0.7,36.4,2026,12,July
2026-07-12,Machine Learning,99,7.1,0.0,50.9,1.7,32.0,2026,12,July
2026-07-12,Mixpanel,17,1.2,,,0.0,0.0,2026,12,July
2026-07-12,MongoDB,21,1.5,40.0,,2.1,76.9,2026,12,July
2026-07-12,Node.js,34,2.4,35.0,18.5,0.0,33.4,2026,12,July
